name,price,status,shipping,free_returns,items_sold
LEGO Batman Movie The Joker Manor 70922 #2824,1895,Pre-owned,0,True,
LEGO Disney Princess Cinderella's Castle 43222 #7912,2000,Brand New,0,True,
LEGO Creator Expert Roller Coaster 10261 #4257,19599,Pre-owned,399,False,
LEGO Technic Chevrolet Corvette 42093 #7924,9995,Pre-owned,0,True,24
LEGO Creator 3in1 Space Shuttle Adventure 31117 #6881,22895,Brand New,0,True,
LEGO Ninjago City Gardens 71741 Building Kit #2291,15395,Brand New,499,True,
LEGO Star Wars The Mandalorian Battle Pack 75267 #4733,20995,Brand New,0,True,72
LEGO Batman Movie The Joker Manor 70922 #6977,5395,,0,False,
LEGO Classic Large Creative Brick Box 10698 #3803,14849,Pre-owned,399,True,
LEGO City Deep Space Rocket and Launch Control 60228 #6313,22700,Pre-owned,0,True,
LEGO Friends Heartlake City Grand Hotel 41684 #6155,6699,,599,True,
LEGO Minecraft The Nether Fortress 21122 #9830,7999,Brand New,399,True,36
LEGO Technic Bugatti Chiron 42083 Race Car Model #1771,23200,Pre-owned,599,True,175
LEGO Classic Large Creative Brick Box 10698 #2040,11099,Brand New,399,False,
LEGO City Deep Space Rocket and Launch Control 60228 #2876,18695,Brand New,0,True,
LEGO Technic Land Rover Defender 42110 #1053,19695,Brand New,0,False,468
LEGO Batman Movie The Joker Manor 70922 #9317,16749,Pre-owned,0,True,
LEGO Classic Large Creative Brick Box 10698 #6310,13700,Brand New,0,True,
LEGO Disney Princess Cinderella's Castle 43222 #2290,3399,Brand New,499,True,169
LEGO Creator Expert Roller Coaster 10261 #3705,7999,Pre-owned,499,False,354
LEGO Ninjago City Gardens 71741 Building Kit #7118,12499,Brand New,0,True,
LEGO Disney Princess Cinderella's Castle 43222 #4770,16249,Brand New,0,False,
LEGO Technic Bugatti Chiron 42083 Race Car Model #1514,23295,Brand New,499,True,172
LEGO Friends Heartlake City Grand Hotel 41684 #9834,4599,Pre-owned,399,True,
LEGO City Deep Space Rocket and Launch Control 60228 #8062,10299,,399,False,
LEGO Star Wars The Mandalorian Battle Pack 75267 #7596,19895,Brand New,0,True,138
LEGO Harry Potter Hogwarts Castle 71043 #7912,5895,,0,True,
LEGO Star Wars The Mandalorian Battle Pack 75267 #9856,22600,Brand New,0,True,125
LEGO Friends Heartlake City Grand Hotel 41684 #7570,24300,Pre-owned,399,True,68
LEGO Ideas Central Perk 21319 Friends TV Show #7930,19099,Pre-owned,0,True,
LEGO Ideas Ship in a Bottle 92177 #6138,2600,Brand New,399,False,
LEGO Star Wars The Mandalorian Battle Pack 75267 #9320,3249,Brand New,499,True,61
LEGO Creator 3in1 Space Shuttle Adventure 31117 #5033,16000,Brand New,0,True,337
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #4346,18395,Pre-owned,0,True,68
LEGO Technic Land Rover Defender 42110 #6180,24900,Brand New,399,False,
LEGO Creator Expert Roller Coaster 10261 #4492,14195,Pre-owned,0,True,451
LEGO Ideas Central Perk 21319 Friends TV Show #3584,12495,Brand New,599,False,5
LEGO City Deep Space Rocket and Launch Control 60228 #2697,23649,,0,True,
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #5616,16649,Brand New,0,True,352
LEGO City Fire Station 60215 #9004,7600,Brand New,599,True,
LEGO City Police Station 60316 Building Kit #6464,20949,Brand New,0,True,114
LEGO Creator Expert Roller Coaster 10261 #1158,4000,Brand New,0,False,
LEGO Marvel Avengers Compound Battle 76131 #3088,2295,,0,True,
LEGO City Deep Space Rocket and Launch Control 60228 #2684,10299,Brand New,599,True,
LEGO Architecture Statue of Liberty 21042 #7755,1849,Brand New,0,True,
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #3608,21300,,0,True,52
LEGO Duplo Classic Brick Box 10913 Building Toy #6000,22249,Pre-owned,0,False,99
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #2137,20995,,599,False,205
LEGO City Police Station 60316 Building Kit #2889,23695,Pre-owned,499,True,28
LEGO Duplo Classic Brick Box 10913 Building Toy #6139,12300,,499,True,12
LEGO City Police Station 60316 Building Kit #9518,24849,,399,True,486
LEGO Classic Large Creative Brick Box 10698 #6143,18100,Brand New,0,False,171
LEGO Speed Champions Ferrari 488 GTE 75888 #7592,19095,Brand New,0,True,171
LEGO City Deep Space Rocket and Launch Control 60228 #3851,16995,,499,True,
LEGO Marvel Avengers Compound Battle 76131 #6279,13199,,599,True,
LEGO City Deep Space Rocket and Launch Control 60228 #2389,8495,Brand New,0,False,
LEGO Harry Potter Hogwarts Castle 71043 #1400,2349,,499,True,
LEGO Technic Chevrolet Corvette 42093 #7291,13899,Pre-owned,0,False,
LEGO Marvel Avengers Compound Battle 76131 #4585,5799,Brand New,499,True,32
LEGO Harry Potter Hogwarts Castle 71043 #8612,18295,,499,False,130
LEGO Creator Expert Roller Coaster 10261 #8305,24149,Brand New,399,True,
LEGO Batman Movie The Joker Manor 70922 #5543,20899,Brand New,0,True,226
LEGO Minecraft The Nether Fortress 21122 #5451,9795,Brand New,0,True,60
LEGO Technic Chevrolet Corvette 42093 #3503,19249,Brand New,399,True,139
LEGO Marvel Avengers Compound Battle 76131 #2020,6499,,499,False,196
LEGO Star Wars Millennium Falcon 75257 #1096,10295,,399,False,
LEGO Star Wars Millennium Falcon 75257 #4595,8199,,0,True,172
LEGO Ideas Ship in a Bottle 92177 #3704,22799,Pre-owned,499,False,
LEGO Technic Bugatti Chiron 42083 Race Car Model #8022,4699,Pre-owned,0,True,
LEGO Technic Land Rover Defender 42110 #6355,9899,,399,True,21
LEGO City Police Station 60316 Building Kit #9837,2595,Pre-owned,599,True,
LEGO City Police Station 60316 Building Kit #5051,6300,Brand New,0,True,
LEGO Disney Princess Cinderella's Castle 43222 #4571,13195,,0,False,
LEGO Architecture Statue of Liberty 21042 #6096,3900,,499,False,97
LEGO Technic Chevrolet Corvette 42093 #4249,3149,Brand New,599,True,
LEGO Disney Princess Cinderella's Castle 43222 #1672,10099,Brand New,0,True,260
LEGO City Police Station 60316 Building Kit #7882,22299,Brand New,399,True,
LEGO Marvel Avengers Compound Battle 76131 #3885,19995,Brand New,499,True,239
LEGO Speed Champions Ferrari 488 GTE 75888 #5022,22400,,399,True,119
LEGO Speed Champions Ferrari 488 GTE 75888 #1470,13895,Pre-owned,399,True,182
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #5526,15400,Brand New,0,True,185
LEGO Star Wars Millennium Falcon 75257 #4937,18899,Brand New,599,True,
LEGO Ideas Central Perk 21319 Friends TV Show #4630,11549,,599,False,189
LEGO Marvel Avengers Compound Battle 76131 #6419,10299,,0,True,
LEGO Speed Champions Ferrari 488 GTE 75888 #2958,20249,Pre-owned,0,False,248
LEGO Creator 3in1 Space Shuttle Adventure 31117 #4180,8749,,0,True,
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #1745,2595,Brand New,0,False,193
LEGO Creator 3in1 Space Shuttle Adventure 31117 #1200,15895,,399,True,
LEGO Jurassic World Indominus Rex vs. Ankylosaurus 75941 #8827,4100,,399,True,
LEGO Harry Potter Hogwarts Castle 71043 #3444,21995,Brand New,0,True,196
LEGO Classic Large Creative Brick Box 10698 #4697,21099,,399,True,151
LEGO Ideas Central Perk 21319 Friends TV Show #1986,16800,Pre-owned,599,True,
LEGO Architecture Statue of Liberty 21042 #4929,5600,Pre-owned,0,True,177
LEGO Ideas Central Perk 21319 Friends TV Show #1534,7195,Brand New,0,False,
LEGO City Deep Space Rocket and Launch Control 60228 #4824,24895,Brand New,499,False,51
LEGO Creator 3in1 Space Shuttle Adventure 31117 #9922,6949,,0,True,31
LEGO Classic Large Creative Brick Box 10698 #5728,12400,,599,True,359
LEGO City Fire Station 60215 #9847,13899,Brand New,499,True,456
LEGO Classic Large Creative Brick Box 10698 #5102,1800,Pre-owned,599,False,301
LEGO Disney Princess Cinderella's Castle 43222 #1659,20749,,499,False,
LEGO Disney Princess Cinderella's Castle 43222 #8141,17499,Brand New,399,True,210
LEGO City Deep Space Rocket and Launch Control 60228 #2713,23149,,399,False,74
LEGO Creator Expert Roller Coaster 10261 #1601,12800,,0,True,198
LEGO City Fire Station 60215 #1018,18099,,0,True,93
LEGO Batman Movie The Joker Manor 70922 #8242,20600,Pre-owned,0,False,74
LEGO Technic Chevrolet Corvette 42093 #8941,4300,Brand New,499,True,364
LEGO Creator Expert Roller Coaster 10261 #1224,15399,Brand New,0,True,
LEGO Star Wars Millennium Falcon 75257 #5781,14295,,399,True,
LEGO Ninjago City Gardens 71741 Building Kit #4122,24749,Brand New,0,True,175
LEGO City Police Station 60316 Building Kit #5634,19795,Brand New,499,False,39
LEGO Creator Expert Roller Coaster 10261 #8935,10095,Brand New,499,True,
LEGO Technic Chevrolet Corvette 42093 #4912,15899,Pre-owned,399,True,191
LEGO Technic Chevrolet Corvette 42093 #7246,11049,,0,True,258
