name,price,status,shipping,free_returns,items_sold
Nike Air Max 270 React Triple Black Size 11,25999,Pre-owned,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,12995,Pre-owned,799,True,211
Nike Air Zoom Structure 24 Running Shoe,28495,Brand New,0,True,
Nike Air Max 97 Silver Bullet Men's Size 10.5,18395,Brand New,0,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,13999,Brand New,799,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,12500,Brand New,599,True,
Nike Air Max 97 Silver Bullet Men's Size 10.5,13899,Brand New,599,True,294
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,14695,Brand New,0,True,
Nike Jordan 1 Retro High OG Chicago,13795,Brand New,799,True,104
Nike Air Force 1 Shadow Women's Pastel Pink,28799,Brand New,0,True,
Nike Air Max 90 Black Running Shoes Men's,22099,Pre-owned,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,23295,Brand New,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,21695,Brand New,0,True,
Nike Air Max 90 Black Running Shoes Men's,28100,Pre-owned,0,True,
Nike React Infinity Run Flyknit 2 Running Shoe,28800,Brand New,799,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,12599,Pre-owned,0,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,18395,Pre-owned,799,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,9099,Brand New,599,True,8
Nike Free RN 5.0 Men's Running Shoe Size 9,25195,Pre-owned,0,True,
Nike React Element 55 Black Anthracite Men's,13200,Brand New,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,28800,Brand New,599,False,
Nike Air Force 1 Shadow Women's Pastel Pink,29395,Brand New,0,True,185
Nike Air VaporMax Plus Triple Black Sneakers,6499,Brand New,799,True,
Nike React Element 55 Black Anthracite Men's,28599,Brand New,0,True,189
Nike Air VaporMax Plus Triple Black Sneakers,10500,Brand New,0,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,28295,Pre-owned,0,True,42
Nike Kyrie 8 Infinity Basketball Shoe Men's,18499,Brand New,0,True,32
Nike React Element 55 Black Anthracite Men's,10099,Pre-owned,0,True,168
Nike Kyrie 8 Infinity Basketball Shoe Men's,7899,Pre-owned,799,True,
Nike Air Max 90 Black Running Shoes Men's,16500,Pre-owned,799,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,16799,Brand New,0,False,
Nike Zoom Freak 3 Basketball Shoes Men's Size 12,19700,Brand New,799,True,33
Nike Air Max 90 Black Running Shoes Men's,28800,Brand New,0,True,
Nike Air Max 270 React Triple Black Size 11,24599,Brand New,599,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,6999,Pre-owned,0,True,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,14999,Pre-owned,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,22199,Pre-owned,799,False,
Nike Kyrie 8 Infinity Basketball Shoe Men's,13700,Brand New,0,True,17
Nike SB Dunk Low Pro Skateboarding Shoes,20600,Pre-owned,0,True,52
Nike Air Max 90 Black Running Shoes Men's,16399,Brand New,0,True,
Nike Air VaporMax Plus Triple Black Sneakers,18700,Brand New,0,True,120
Nike Metcon 7 Training Shoes Men's Size 10,13099,Pre-owned,599,True,
Nike React Element 55 Black Anthracite Men's,10595,Brand New,599,True,286
Nike React Infinity Run Flyknit 2 Running Shoe,20999,Brand New,799,True,177
Nike Air Zoom Pegasus 39 Men's Running Shoes,25099,Brand New,799,False,
Nike Air Zoom Pegasus 39 Men's Running Shoes,9699,Brand New,0,True,154
Nike Air Max 270 React Triple Black Size 11,25595,Brand New,799,False,286
Nike Air Max 270 React Triple Black Size 11,14800,Brand New,0,True,
Nike Cortez Basic Leather White Men's,7299,Pre-owned,0,True,194
Nike Air Zoom Structure 24 Running Shoe,20300,Brand New,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,12600,Pre-owned,0,True,
Nike Air Zoom Structure 24 Running Shoe,22900,Brand New,0,True,
Nike Kyrie 8 Infinity Basketball Shoe Men's,18599,Brand New,599,True,185
Nike Air Max 97 Silver Bullet Men's Size 10.5,16800,Brand New,599,True,
Nike SB Dunk Low Pro Skateboarding Shoes,6099,Pre-owned,0,True,134
Nike Metcon 7 Training Shoes Men's Size 10,19799,Brand New,599,True,
Nike Air VaporMax Plus Triple Black Sneakers,14699,Pre-owned,799,True,
Nike Air Max 97 Silver Bullet Men's Size 10.5,16600,Brand New,0,True,
Nike React Infinity Run Flyknit 2 Running Shoe,28399,Brand New,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,8499,Pre-owned,0,True,
Nike React Element 55 Black Anthracite Men's,16595,Brand New,799,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,19095,Brand New,0,True,
Nike Air Force 1 Low White Men's Sneakers Size 10,17799,Brand New,0,True,50
Nike Air Max 270 React Triple Black Size 11,11000,Pre-owned,599,True,
Nike Jordan 1 Retro High OG Chicago,14495,Brand New,0,True,154
Nike Jordan 1 Retro High OG Chicago,21699,Brand New,0,False,
Nike Air Force 1 '07 LV8 Men's Shoes Size 11,17000,Brand New,0,True,
Nike Free RN 5.0 Men's Running Shoe Size 9,19300,Pre-owned,0,True,109
Nike Metcon 7 Training Shoes Men's Size 10,17095,Brand New,0,True,279
Nike Air Max 90 Black Running Shoes Men's,9495,Brand New,0,True,
Nike Blazer Mid '77 Vintage Men's Shoes White,9099,Pre-owned,799,True,197
Nike Air Max 270 React Triple Black Size 11,25199,Brand New,599,True,
Nike Air VaporMax Plus Triple Black Sneakers,26300,Brand New,799,True,16
Nike Air Force 1 Shadow Women's Pastel Pink,24995,Brand New,0,True,
Nike SB Dunk Low Pro Skateboarding Shoes,9699,Pre-owned,799,True,
Nike Jordan 1 Retro High OG Chicago,7095,Pre-owned,799,True,
Nike Cortez Basic Leather White Men's,7600,Brand New,599,False,
Nike Dunk Low Panda Black White Men's,8200,Pre-owned,799,False,286
